編號,資料來源,資料名稱,我們的建議分類,主要欄位,分類及編號,資料集描述,主要欄位說明
201,臺北市交通管制工程處,車輛偵測器(VD)資料,102,資料交換時間、分區建構編號、資料擷取頻率、設備車道數、第幾車道、車道總和流量、車道平均速度、車道平均佔有率、車道機車總和流量、車道小型車總和流量、車道大型車總和流量,交通及通訊,車輛偵測器(VD)蒐集之道路資訊(檔案為gz格式壓縮，原始檔案為XML格式),資料交換時間、分區建構編號、資料擷取頻率、設備車道數、第幾車道、車道總和流量、車道平均速度、車道平均佔有率、車道機車總和流量、車道小型車總和流量、車道大型車總和流量
202,臺北市交通管制工程處,資訊可變標誌(CMS)顯示內容,102,資料交換時間、設備建構編號、設備位置中文敘述、設備運作狀況(顯示訊息內容),交通及通訊,資訊可變標誌看板顯示資訊(檔案為gz格式壓縮，原始檔案為XML格式),資料交換時間、設備建構編號、設備位置中文敘述、設備運作狀況(顯示訊息內容)
203,臺北市交通管制工程處,道路速率,102,資料交換時間、分區建構編號、分區位置中文敘述、分區內各車流偵測器之平均車速、分區內各車流偵測器之平均佔有率、分區內各車流偵測器之總和流量、分區內各車流偵測器之平均績效、分區啓始座標點X、分區啓始座標點Y、分區結束座標點X、分區結束座標點Y,交通及通訊,提供道路即時資訊，包含車速、流量及道路績效(檔案為gz格式壓縮，原始檔案為XML格式),資料交換時間、分區建構編號、分區位置中文敘述、分區內各車流偵測器之平均車速、分區內各車流偵測器之平均佔有率、分區內各車流偵測器之總和流量、分區內各車流偵測器之平均績效、分區啓始座標點X、分區啓始座標點Y、分區結束座標點X、分區結束座標點Y
204,臺北市政府財政局,臺北市菸酒製造業者資料一覽表,13,製造業者名稱、統一編號、負責人、總機構所在地、許可執照號碼。,公共資訊,揭露臺北市菸酒製造業者等相關資料，俾供消費者洽詢或申訴等事宜，以維護其權益。,製造業者名稱、統一編號、負責人、總機構所在地、許可執照號碼。
205,臺北市政府地政局,住宅價格指數,15,指數類別、年月、指數(101年8月為基期)、變動率(%)、標準住宅總價(萬元)及標準住宅單價(萬元/坪),公共資訊,以實價登錄資料庫為基礎，分別編製各次分區的住宅價格指數，呈現全市、全市公寓及大樓、四個合併行政區之住宅價格在不同時期之實際變動情形，俾協助各界掌握本市住宅價格之變動趨勢。,指數類別、年月、指數(101年8月為基期)、變動率(%)、標準住宅總價(萬元)及標準住宅單價(萬元/坪)
206,臺北市政府勞動局,臺北市政府違反性別工作平等法事業單位及事業主公布總表,20,"項次；
事業單位名稱；
違反性別工作平等法條款；
違反法規內容；
處分書文號；
處分日期；
備註；",求職及就業,臺北市政府違反性別工作平等法事業單位及事業主公布總表,"項次；
事業單位名稱；
違反性別工作平等法條款；
違反法規內容；
處分書文號；
處分日期；
備註；"
207,臺北市政府警察局,臺北市受理網路報案統計表,14,單位、案類、轄區,生活安全及品質,10507受理網路報案統計表,單位、案類、轄區
208,臺北市政府警察局,社區治安會議辦理情形統計表,14,"場次	會議
時間	會議
主持人	召開單位	與會
人數	協同單位	各單位參與會議人
",生活安全及品質,警察局受理分局之社區治安會議辦理情形統計表,"場次	會議
時間	會議
主持人	召開單位	與會
人數	協同單位	各單位參與會議人
"
209,臺北市政府環境保護局,臺北市廢棄物處理場再生土領用方式及領據,11,再生土領用方式、再生土領據、再生土領用地點,生活安全及品質,廢棄物處理場再生土領用方式、領據及領用地點資訊,再生土領用方式、再生土領據、再生土領用地點
210,臺北市政府警察局,小巡邏區勤務立即偵破刑案績效表,14,單位、案類、總計,生活安全及品質,10507臺北市政府警察局線上立即偵破刑案績效表,單位、案類、總計
211,臺北市政府環境保護局,臺北市延慧書庫,7,"文具：品項,規格,現有數；
文學書籍：分類號,類型,書名,作者,出版社；
國小參考書：科目,類型,書名,出版社,數量；
國中參考書：科目,類型,書名,出版社,數量；
高中參考書：科目,類型,書名,出版社,數量；
親子書籍：類型,書名,出版社,備註",公共資訊,提供民眾捐贈書籍的類別及數量資訊,"文具：品項,規格,現有數；
文學書籍：分類號,類型,書名,作者,出版社；
國小參考書：科目,類型,書名,出版社,數量；
國中參考書：科目,類型,書名,出版社,數量；
高中參考書：科目,類型,書名,出版社,數量；
親子書籍：類型,書名,出版社,備註"
212,臺北翡翠水庫管理局,水庫運轉月報表,5,"日期	、翡翠水庫日平均水位(公尺)、水庫有效蓄水量(百萬立方公尺)、集水區平均雨量(毫米)、水庫進流量(立方公尺)、水庫放流量(立方公尺)、進流量－放流量(立方公尺)、南勢溪流量(立方公尺)及南北勢溪合計原水量(立方公尺)



　




",公共資訊,翡翠水庫操作運轉月報,"日期	、翡翠水庫日平均水位(公尺)、水庫有效蓄水量(百萬立方公尺)、集水區平均雨量(毫米)、水庫進流量(立方公尺)、水庫放流量(立方公尺)、進流量－放流量(立方公尺)、南勢溪流量(立方公尺)及南北勢溪合計原水量(立方公尺)



　




"
213,臺北廣播電臺,臺北廣播電臺中文節目表,10,"頻道(channel), 星期(week), 開始時間(start_time),結束時間(end_time), 節目(program),主持人(DJ)",公共資訊,廣播內容中文節目表，連結網頁提供線上收聽及過去60天節目音檔,"頻道(channel), 星期(week), 開始時間(start_time),結束時間(end_time), 節目(program),主持人(DJ)"
214,臺北廣播電臺,臺北廣播電臺英文節目表,10,"channel,week,start_time,end_time,program,DJ
",公共資訊,廣播內容英文節目表，連結網頁提供線上收聽及過去60天節目音檔,"channel,week,start_time,end_time,program,DJ
"
215,臺北市政府財政局,公告臺北市政府公共債務情形,12,年度、月份、一年以上債務未償餘額、未滿一年債務未償餘額、平均每人負擔債務、自償性債務未償餘額（含非營業特種基金）(單位：元)。,公共資訊,"公告每月臺北市政府公共債務資訊，落實全民監督
",年度、月份、一年以上債務未償餘額、未滿一年債務未償餘額、平均每人負擔債務、自償性債務未償餘額（含非營業特種基金）(單位：元)。
216,臺北市政府財政局,自82年度起臺北市各年度債務未償餘額實際數表,12,年度、債務未償餘額實際數(單位：億元)。,公共資訊,自82年度起臺北市各年度債務未償餘額實際數,年度、債務未償餘額實際數(單位：億元)。
217,臺北市政府兵役局,役男驗退停訓處理人數統計表,2,"鄉鎮市區,徵集人數,驗退停訓人數,,驗退停訓百分比,驗退停訓病名五官,驗退停訓病名視力,驗退停訓病名一般,驗退停訓病名内科,驗退停訓病名外科,驗退停訓病名精神,驗退停訓病名其他,複檢結果常備役,複檢結果替代役,複檢結果免役,複檢結果體位未定,複檢結困未到,複檢結果未判,複檢結果其他",服兵役,臺北市役男驗退停訓處理人數統計,"鄉鎮市區,徵集人數,驗退停訓人數,,驗退停訓百分比,驗退停訓病名五官,驗退停訓病名視力,驗退停訓病名一般,驗退停訓病名内科,驗退停訓病名外科,驗退停訓病名精神,驗退停訓病名其他,複檢結果常備役,複檢結果替代役,複檢結果免役,複檢結果體位未定,複檢結困未到,複檢結果未判,複檢結果其他"
218,臺北市政府兵役局,徵集人數統計表,2,"項目,一般教育程度常備兵陸軍,一般教育程度常備兵海軍艦艇兵,一般教育程度常備兵海軍陸戰隊,一般教育程度常備兵空軍,一般教育程度常備兵憲兵,一般教育程度常備兵合計,大專畢業程度常備兵陸軍,大專畢業程度常備兵海軍艦艇兵,大專畢業程度常備兵海軍陸戰隊,大專畢業程度常備兵空軍,大專畢業程度常備兵憲兵,大專畢業程度常備兵合計,補充兵,預官預士,總計,備註",服兵役,臺北市徵集人數統計,"項目,一般教育程度常備兵陸軍,一般教育程度常備兵海軍艦艇兵,一般教育程度常備兵海軍陸戰隊,一般教育程度常備兵空軍,一般教育程度常備兵憲兵,一般教育程度常備兵合計,大專畢業程度常備兵陸軍,大專畢業程度常備兵海軍艦艇兵,大專畢業程度常備兵海軍陸戰隊,大專畢業程度常備兵空軍,大專畢業程度常備兵憲兵,大專畢業程度常備兵合計,補充兵,預官預士,總計,備註"
219,臺北市政府兵役局,替代役備役列管人數分析統計表,2,"組別,梯退,零退,遷入,小計",服兵役,替代役備役列管人數分析統計,"組別,梯退,零退,遷入,小計"
220,臺北市政府勞動局,直轄市、縣(市)政府許可仲介本國人在國內工作之私立就業服務機構暨分支機構停業資料,20,"編號	縣市別
許可證字號
機構名稱
暫停營業日期
復業日期
終止營業日期
註銷日期
停業處分（起）
停業處分（止）
廢止日期
處分日期
處分書字號
違反法條
受處分人姓名身分或受處分機構名稱
備註
",求職及就業,直轄市、縣(市)政府許可仲介本國人在國內工作之私立就業服務機構暨分支機構停業資料,"編號	縣市別
許可證字號
機構名稱
暫停營業日期
復業日期
終止營業日期
註銷日期
停業處分（起）
停業處分（止）
廢止日期
處分日期
處分書字號
違反法條
受處分人姓名身分或受處分機構名稱
備註
"
221,臺北市政府勞動局,臺北市政府違法私立就業服務機構名單,20,臺北市政府違法私立就業服務機構名單,求職及就業,臺北市政府違法私立就業服務機構名單,臺北市政府違法私立就業服務機構名單
222,臺北市政府勞動局,104年度仲介本國人在國內工作之私立就業服務機構評鑑成績等第一覽表,20,"機構類型
編號
許可證號
機構名稱
等級
備註
",求職及就業,104年度仲介本國人在國內工作之私立就業服務機構評鑑成績等第一覽表,"機構類型
編號
許可證號
機構名稱
等級
備註
"
223,臺北市孔廟管理委員會,臺北市孔廟4D劇院播映時段,10,提供臺北市孔廟4D劇院播映時段,公共資訊,提供臺北市孔廟4D劇院播映時段,提供臺北市孔廟4D劇院播映時段
224,臺北市動物保護處,獸醫師資訊,6,姓名、執業執照字號、服務獸醫診療機構名稱。,公共資訊,提供臺北市獸醫師資料。,姓名、執業執照字號、服務獸醫診療機構名稱。
